epoch,accuracy,loss
1,0.0056,26.5894
2,0.0098,27.3522
3,0.0025,27.3747
4,0.0033,27.4859
5,0.0021,27.5219
6,0.0041,27.5501
7,0.0043,27.5501
8,0.0052,27.5096
9,0.0043,27.5231
10,0.0026,27.4691
11,0.0049,27.5568
12,0.0035,27.4826
13,0.0044,27.5433
14,0.0043,27.5457
15,0.0000,27.5231
16,0.0056,27.6310
17,0.0032,27.4759
18,0.0027,27.5366
19,0.0032,27.5905
20,0.0388,27.5366
21,0.0044,26.5314
22,0.0021,27.5028
23,0.0041,27.5636
24,0.0016,27.5221
25,0.0044,27.5838
26,0.0021,27.5298
27,0.0044,27.5636
28,0.0388,27.5366
29,0.0014,26.5314
30,0.0024,27.5501
