epoch,accuracy,loss
1,0.6012,0.0551
2,0.6920,0.0247
3,0.7637,0.0134
4,0.8252,0.0112
5,0.8219,0.0090
6,0.8723,0.0085
7,0.8793,0.0070
8,0.8854,0.0065
9,0.8936,0.0078
10,0.8772,0.0064
11,0.8882,0.0069
12,0.8962,0.0065
13,0.9073,0.0053
14,0.9055,0.0047
15,0.9044,0.0054
16,0.9106,0.0053
17,0.9156,0.0050
18,0.9198,0.0045
19,0.9066,0.0040
20,0.9037,0.0054
21,0.9215,0.0039
22,0.9223,0.0051
23,0.9156,0.0039
24,0.9191,0.0034
25,0.9099,0.0036
26,0.9200,0.0041
27,0.9237,0.0054
28,0.9236,0.0035
29,0.9261,0.0036
30,0.9219,0.0031
31,0.9278,0.0047
32,0.9260,0.0030
33,0.9232,0.0033
34,0.9254,0.0032
35,0.9292,0.0041
36,0.9239,0.0043
37,0.9210,0.0036
38,0.9177,0.0035
39,0.9380,0.0034
40,0.9344,0.0044
41,0.9345,0.0037
42,0.9329,0.0043
43,0.9394,0.0030
44,0.9342,0.0039
45,0.9358,0.0037
46,0.9375,0.0035
47,0.9359,0.0032
48,0.9300,0.0033
49,0.9396,0.0034
50,0.9261,0.0036
51,0.9440,0.0037
52,0.9424,0.0038
53,0.9352,0.0029
54,0.9387,0.0031
55,0.9339,0.0033
56,0.9414,0.0025
57,0.9423,0.0031
58,0.9436,0.0031
59,0.9371,0.0034
60,0.9386,0.0027
61,0.9411,0.0034
62,0.9412,0.0036
63,0.9450,0.0032
64,0.9361,0.0031
65,0.9476,0.0028
66,0.9456,0.0025
67,0.9456,0.0025
68,0.9413,0.0027
69,0.9444,0.0031
70,0.9478,0.0019
71,0.9474,0.0019
72,0.9462,0.0026
73,0.9461,0.0022
74,0.9493,0.0031
75,0.9467,0.0020
76,0.9463,0.0018
77,0.9472,0.0019
78,0.9503,0.0020
79,0.9483,0.0031
80,0.9521,0.0032
81,0.9484,0.0019
82,0.9481,0.0024
83,0.9522,0.0018
84,0.9497,0.0020
85,0.9494,0.0022
86,0.9502,0.0029
87,0.9499,0.0025
88,0.9513,0.0018
89,0.9513,0.0021
90,0.9523,0.0014
91,0.9546,0.0017
92,0.9501,0.0018
93,0.9559,0.0022
94,0.9516,0.0017
95,0.9538,0.0028
96,0.9546,0.0016
97,0.9546,0.0020
98,0.9538,0.0018
99,0.9535,0.0017
100,0.9566,0.0019
101,0.9569,0.0019
102,0.9528,0.0018
103,0.9565,0.0017
104,0.9548,0.0026
105,0.9531,0.0024
106,0.9557,0.0022
107,0.9569,0.0014
108,0.9533,0.0019
109,0.9551,0.0019
110,0.9605,0.0026
111,0.9560,0.0020
112,0.9514,0.0015
113,0.9549,0.0018
114,0.9576,0.0021
115,0.9555,0.0019
116,0.9577,0.0023
117,0.9571,0.0020
118,0.9587,0.0015
119,0.9554,0.0018
120,0.9591,0.0017
121,0.9594,0.0018
122,0.9575,0.0015
123,0.9597,0.0015
124,0.9596,0.0020
125,0.9591,0.0014
126,0.9578,0.0017
127,0.9622,0.0017
128,0.9610,0.0022
129,0.9615,0.0009
130,0.9606,0.0018
131,0.9633,0.0017
132,0.9602,0.0014
133,0.9601,0.0024
134,0.9586,0.0017
135,0.9599,0.0006
136,0.9625,0.0018
137,0.9619,0.0014
138,0.9618,0.0008
139,0.9567,0.0018
140,0.9577,0.0012
141,0.9559,0.0021
142,0.9639,0.0020
143,0.9620,0.0010
144,0.9619,0.0019
145,0.9613,0.0021
146,0.9638,0.0019
147,0.9578,0.0011
